ticker,merkmal,ziel,n_mit_bis2022,n_ohne_bis2022,q_mit_bis2022,q_ohne_bis2022,diff_bis2022,n_mit_ab2023,n_ohne_ab2023,q_mit_ab2023,q_ohne_ab2023,diff_ab2023
ACN,erschoepfung,haelt2,23,48,65.2,52.1,13.1,24,68,16.7,26.5,-9.8
ACN,erholung_vol,gut_a,8,254,50.0,32.3,,14,259,28.6,20.8,7.8
ACN,erholung_vol,gut_b,8,254,37.5,34.6,,14,259,50.0,22.0,28.0
ACN,erholung_vol,haelt2,8,254,62.5,47.6,,14,259,50.0,37.5,12.5
ACN,zweig_a,gut_a,143,119,29.4,37.0,-7.6,143,130,22.4,20.0,2.4
ACN,zweig_a,gut_b,143,119,30.8,39.5,-8.7,143,130,23.8,23.1,0.7
ACN,zweig_a,haelt2,143,119,42.0,55.5,-13.5,143,130,39.2,36.9,2.3
ACN,zweig_b,gut_a,141,121,36.2,28.9,7.3,145,128,18.6,24.2,-5.6
ACN,zweig_b,gut_b,141,121,39.0,29.8,9.2,145,128,22.1,25.0,-2.9
ACN,zweig_b,haelt2,141,121,53.9,41.3,12.6,145,128,35.9,40.6,-4.7
ACN,hammer,gut_a,5,257,20.0,33.1,,6,267,33.3,21.0,
ACN,hammer,gut_b,5,257,20.0,35.0,,6,267,33.3,23.2,
ACN,hammer,haelt2,5,257,20.0,48.6,,6,267,50.0,37.8,
ACN,doppelboden,gut_a,9,253,66.7,31.6,,15,258,6.7,22.1,-15.4
ACN,doppelboden,gut_b,9,253,66.7,33.6,,15,258,6.7,24.4,-17.7
ACN,doppelboden,haelt2,9,253,77.8,47.0,,15,258,6.7,39.9,-33.2
ACN,schluss_ueber_vortageshoch,gut_a,91,171,37.4,30.4,7.0,83,190,22.9,20.5,2.4
ACN,schluss_ueber_vortageshoch,gut_b,91,171,41.8,31.0,10.8,83,190,25.3,22.6,2.7
ACN,schluss_ueber_vortageshoch,haelt2,91,171,51.6,46.2,5.4,83,190,42.2,36.3,5.9
ACN,kein_neues_tief,gut_a,130,132,38.5,27.3,11.2,151,122,17.9,25.4,-7.5
ACN,kein_neues_tief,gut_b,130,132,40.8,28.8,12.0,151,122,24.5,22.1,2.4
ACN,kein_neues_tief,haelt2,130,132,55.4,40.9,14.5,151,122,37.1,39.3,-2.2
ACN,ueber_ema200,gut_a,145,62,33.8,14.5,19.3,125,148,24.0,18.9,5.1
ACN,ueber_ema200,gut_b,145,62,38.6,12.9,25.7,125,148,24.8,22.3,2.5
ACN,ueber_ema200,haelt2,145,62,44.1,48.4,-4.3,125,148,44.0,33.1,10.9
ACN,tief_ab_2,gut_a,114,148,24.6,39.2,-14.6,135,138,16.3,26.1,-9.8
ACN,tief_ab_2,gut_b,114,148,28.1,39.9,-11.8,135,138,17.8,29.0,-11.2
ACN,tief_ab_2,haelt2,114,148,47.4,48.6,-1.2,135,138,26.7,49.3,-22.6
ADBE,reif,gut_a,114,131,43.9,35.1,8.8,156,105,21.8,21.9,-0.1
ADBE,reif,gut_b,114,131,41.2,39.7,1.5,156,105,21.2,21.0,0.2
ADBE,reif,haelt2,114,131,48.2,45.0,3.2,156,105,26.9,27.6,-0.7
ADBE,korr_tief_rang,gut_a,41,178,29.3,43.3,-14.0,64,197,21.9,21.8,0.1
ADBE,korr_tief_rang,gut_b,41,178,29.3,44.4,-15.1,64,197,21.9,20.8,1.1
ADBE,korr_tief_rang,haelt2,41,178,34.1,51.7,-17.6,64,197,25.0,27.9,-2.9
ADBE,korr_lang_rang,gut_a,42,177,33.3,42.4,-9.1,43,218,18.6,22.5,-3.9
ADBE,korr_lang_rang,gut_b,42,177,28.6,44.6,-16.0,43,218,18.6,21.6,-3.0
ADBE,korr_lang_rang,haelt2,42,177,38.1,50.8,-12.7,43,218,20.9,28.4,-7.5
ADBE,rsi_tief_rang,gut_a,75,144,37.3,42.4,-5.1,84,177,29.8,18.1,11.7
ADBE,rsi_tief_rang,gut_b,75,144,37.3,43.8,-6.5,84,177,28.6,17.5,11.1
ADBE,rsi_tief_rang,haelt2,75,144,44.0,50.7,-6.7,84,177,36.9,22.6,14.3
ADBE,rsi_unter_50,gut_a,108,137,39.8,38.7,1.1,146,115,17.1,27.8,-10.7
ADBE,rsi_unter_50,gut_b,108,137,37.0,43.1,-6.1,146,115,17.1,26.1,-9.0
ADBE,rsi_unter_50,haelt2,108,137,44.4,48.2,-3.8,146,115,21.2,34.8,-13.6
ADBE,divergenz,gut_a,11,44,18.2,43.2,-25.0,23,75,21.7,25.3,-3.6
