ticker,zeitraum,puffer,punkte,faelle,rendite_mittel,rendite_median,ko_quote
CBK.DE,ab2023,1.0,3,2,-27.6,-27.6,0.0
CBK.DE,bis2022,1.0,0,68,19.7,-42.0,33.8
CBK.DE,bis2022,1.0,1,125,22.1,-20.6,27.2
CBK.DE,bis2022,1.0,2,38,-4.9,-15.0,28.9
CCEP,ab2023,1.0,0,80,47.2,-32.9,33.8
CCEP,ab2023,1.0,1,140,7.8,-39.2,24.3
CCEP,ab2023,1.0,2,26,88.3,48.2,7.7
CCEP,ab2023,1.0,3,2,-30.9,-30.9,0.0
CCEP,bis2022,1.0,0,81,-18.0,-42.2,39.5
CCEP,bis2022,1.0,1,121,-8.6,-16.3,21.5
CCEP,bis2022,1.0,2,34,45.2,6.0,5.9
CCEP,bis2022,1.0,3,5,-11.7,-10.8,20.0
CDNS,ab2023,1.0,0,79,-24.0,-73.2,44.3
CDNS,ab2023,1.0,1,128,-7.2,-40.7,34.4
CDNS,ab2023,1.0,2,38,38.1,15.2,7.9
CDNS,ab2023,1.0,3,8,-27.0,-19.6,12.5
CDNS,bis2022,1.0,0,62,64.1,12.9,17.7
CDNS,bis2022,1.0,1,142,43.2,0.1,16.9
CDNS,bis2022,1.0,2,43,50.4,-12.9,14.0
CDNS,bis2022,1.0,3,2,-16.0,-16.0,0.0
CDW,ab2023,1.0,0,60,11.1,-7.5,40.0
CDW,ab2023,1.0,1,111,2.9,-30.4,31.5
CDW,ab2023,1.0,2,58,20.0,-20.6,29.3
CDW,ab2023,1.0,3,3,1.9,6.0,0.0
CDW,bis2022,1.0,0,79,11.1,-56.3,38.0
CDW,bis2022,1.0,1,108,-0.7,-22.3,25.9
CDW,bis2022,1.0,2,46,2.6,-29.0,8.7
CDW,bis2022,1.0,3,2,-16.2,-16.2,0.0
CEG,ab2023,1.0,0,73,45.1,-54.8,35.6
CEG,ab2023,1.0,1,141,7.2,-31.8,19.1
CEG,ab2023,1.0,2,45,13.8,-14.2,8.9
CEG,ab2023,1.0,3,5,-13.5,-32.5,20.0
CEG,bis2022,1.0,0,22,151.9,39.7,36.4
CEG,bis2022,1.0,1,25,15.6,9.6,16.0
CEG,bis2022,1.0,2,6,-56.3,-60.0,0.0
CHTR,ab2023,1.0,0,76,-30.7,-100.0,51.3
CHTR,ab2023,1.0,1,138,-12.5,-50.1,31.9
CHTR,ab2023,1.0,2,33,-32.9,-44.0,36.4
CHTR,ab2023,1.0,3,1,26.8,26.8,0.0
CHTR,bis2022,1.0,0,73,24.5,-27.5,31.5
CHTR,bis2022,1.0,1,117,-5.6,-36.0,26.5
CHTR,bis2022,1.0,2,34,-35.9,-41.6,17.6
CHTR,bis2022,1.0,3,5,-45.4,-35.0,20.0
CL,ab2023,1.0,0,80,11.0,-21.4,28.7
CL,ab2023,1.0,1,126,6.3,-14.9,21.4
CL,ab2023,1.0,2,35,1.2,-2.9,17.1
CL,ab2023,1.0,3,4,92.1,-11.0,0.0
CL,bis2022,1.0,0,79,-8.5,-45.8,36.7
CL,bis2022,1.0,1,130,-15.3,-31.1,20.8
