datum,vix,vdax,fg,vdax_quelle
2012-08-13,,,75.00,gemessen:^GDAXI
2012-08-14,,,74.00,gemessen:^GDAXI
2012-08-15,,,72.00,gemessen:^GDAXI
2012-08-16,,,78.00,gemessen:^GDAXI
2012-08-17,,,79.00,gemessen:^GDAXI
2012-08-20,,,75.00,gemessen:^GDAXI
2012-08-21,,,74.00,gemessen:^GDAXI
2012-08-22,,,74.00,gemessen:^GDAXI
2012-08-23,,,72.00,gemessen:^GDAXI
2012-08-24,,,70.00,gemessen:^GDAXI
2012-08-27,,,68.00,gemessen:^GDAXI
2012-08-28,,,68.00,gemessen:^GDAXI
2012-08-29,,,63.00,gemessen:^GDAXI
2012-08-30,,,63.00,gemessen:^GDAXI
2012-08-31,,,59.00,gemessen:^GDAXI
2012-09-04,,,71.00,gemessen:^GDAXI
2012-09-05,,,74.00,gemessen:^GDAXI
2012-09-06,,,76.00,gemessen:^GDAXI
2012-09-07,,,83.00,gemessen:^GDAXI
2012-09-10,,,78.00,gemessen:^GDAXI
2012-09-11,,,86.00,gemessen:^GDAXI
2012-09-12,,,84.00,gemessen:^GDAXI
2012-09-13,,,91.00,gemessen:^GDAXI
2012-09-14,,,93.00,gemessen:^GDAXI
2012-09-17,,,92.00,gemessen:^GDAXI
2012-09-18,,,92.00,gemessen:^GDAXI
2012-09-19,,,92.00,gemessen:^GDAXI
2012-09-20,,,93.00,gemessen:^GDAXI
2012-09-21,,,93.00,gemessen:^GDAXI
2012-09-24,,,81.00,gemessen:^GDAXI
2012-09-25,,,81.00,gemessen:^GDAXI
2012-09-26,,,70.00,gemessen:^GDAXI
2012-09-27,,,76.00,gemessen:^GDAXI
2012-09-28,,,71.00,gemessen:^GDAXI
2012-10-01,,,72.00,gemessen:^GDAXI
2012-10-02,,,75.00,gemessen:^GDAXI
2012-10-03,,,76.00,gemessen:^GDAXI
2012-10-04,,,77.00,gemessen:^GDAXI
2012-10-05,,,78.00,gemessen:^GDAXI
2012-10-08,,,72.00,gemessen:^GDAXI
2012-10-09,,,66.00,gemessen:^GDAXI
2012-10-10,,,59.00,gemessen:^GDAXI
