ticker,wochentag,faelle,schluss_ueber_eroeffnung_pct,erst_runter_pct,mittlere_tagesrendite_pct
COP,Freitag,352,48.3,50.6,-0.028
COST,Montag,329,56.5,52.6,0.197
COST,Dienstag,364,52.5,46.4,0.003
COST,Mittwoch,360,50.0,49.2,0.032
COST,Donnerstag,354,50.3,50.6,0.044
COST,Freitag,352,51.1,48.6,0.02
CPRT,Montag,329,49.8,49.8,-0.017
CPRT,Dienstag,364,49.5,46.7,-0.02
CPRT,Mittwoch,360,48.3,48.9,-0.008
CPRT,Donnerstag,354,51.7,52.0,-0.004
CPRT,Freitag,352,52.6,51.7,0.027
CRM,Montag,329,57.4,55.9,0.291
CRM,Dienstag,364,47.0,47.8,-0.169
CRM,Mittwoch,360,48.3,50.3,-0.067
CRM,Donnerstag,354,54.8,54.8,0.109
CRM,Freitag,352,50.9,48.6,0.085
CRWD,Montag,329,56.5,55.0,0.379
CRWD,Dienstag,364,51.1,45.6,0.095
CRWD,Mittwoch,360,51.9,50.0,0.057
CRWD,Donnerstag,354,52.5,50.3,0.214
CRWD,Freitag,352,52.0,50.0,-0.018
CSCO,Montag,329,58.4,55.6,0.165
CSCO,Dienstag,364,46.7,45.9,-0.053
CSCO,Mittwoch,360,51.7,51.7,-0.015
CSCO,Donnerstag,354,49.7,49.7,0.062
CSCO,Freitag,352,54.8,56.8,0.146
CSGP,Montag,329,51.1,48.0,0.043
CSGP,Dienstag,364,46.7,44.0,-0.186
CSGP,Mittwoch,360,44.7,44.4,-0.078
CSGP,Donnerstag,354,50.3,51.7,-0.006
CSGP,Freitag,352,49.7,48.0,0.028
CSX,Montag,329,52.3,53.2,-0.021
CSX,Dienstag,364,50.0,48.9,-0.03
CSX,Mittwoch,360,48.3,49.7,0.021
CSX,Donnerstag,354,56.2,54.8,0.079
CSX,Freitag,352,52.3,49.7,0.054
CTAS,Montag,329,52.9,52.9,0.05
CTAS,Dienstag,364,50.8,48.4,0.013
CTAS,Mittwoch,360,52.8,50.6,0.02
CTAS,Donnerstag,354,53.7,52.0,0.096
CTAS,Freitag,352,50.9,50.3,0.012
CTSH,Montag,329,52.3,53.5,0.072
CTSH,Dienstag,364,50.5,50.3,-0.05
CTSH,Mittwoch,360,46.7,52.8,0.015
CTSH,Donnerstag,354,52.0,50.0,0.072
CTSH,Freitag,352,53.7,51.4,0.06
CVS,Montag,329,53.5,56.2,0.086
CVS,Dienstag,364,48.1,47.0,-0.109
CVS,Mittwoch,360,47.8,47.8,0.025
CVS,Donnerstag,354,51.1,47.5,-0.031
CVS,Freitag,352,54.5,54.3,0.138
CVX,Montag,329,54.7,52.0,0.066
CVX,Dienstag,364,50.0,49.2,-0.062
CVX,Mittwoch,360,48.6,48.9,-0.089
CVX,Donnerstag,354,51.1,51.4,0.037
CVX,Freitag,352,49.1,46.3,0.007
DASH,Montag,270,53.0,51.9,0.109
DASH,Dienstag,301,50.5,53.5,0.098
DASH,Mittwoch,300,49.3,50.0,0.108
DASH,Donnerstag,293,46.4,50.2,-0.085
DASH,Freitag,291,54.3,51.5,0.154
DB1.DE,Montag,352,54.3,51.7,0.132
DB1.DE,Dienstag,360,49.4,49.2,-0.046
DB1.DE,Mittwoch,359,50.1,48.7,-0.02
DB1.DE,Donnerstag,358,51.7,53.9,0.095
DB1.DE,Freitag,352,54.3,53.4,0.055
DBK.DE,Montag,352,54.5,53.1,0.255
DBK.DE,Dienstag,360,51.4,51.4,0.061
DBK.DE,Mittwoch,359,51.0,49.3,0.014
DBK.DE,Donnerstag,358,50.0,50.6,0.051
DBK.DE,Freitag,352,49.1,48.0,-0.138
DDOG,Montag,329,56.5,53.2,0.187
DDOG,Dienstag,364,49.7,48.9,0.045
DDOG,Mittwoch,360,49.2,51.1,0.14
DDOG,Donnerstag,354,49.7,51.1,0.156
DDOG,Freitag,352,48.6,48.6,0.016
DE,Montag,329,54.1,54.4,0.115
DE,Dienstag,364,48.6,51.9,0.018
DE,Mittwoch,360,48.1,51.1,-0.011
DE,Donnerstag,354,53.1,54.2,0.199
DE,Freitag,352,49.7,47.7,-0.022
DELL,Montag,329,57.1,58.1,0.252
DELL,Dienstag,364,51.1,50.3,-0.028
DELL,Mittwoch,360,50.8,53.6,0.162
DELL,Donnerstag,354,54.0,50.6,0.083
DELL,Freitag,352,53.1,54.0,0.181
DHL.DE,Montag,352,50.0,47.7,0.09
DHL.DE,Dienstag,360,50.0,52.5,-0.018
DHL.DE,Mittwoch,359,51.0,49.0,0.005
DHL.DE,Donnerstag,358,53.6,55.3,0.156
DHL.DE,Freitag,352,46.6,47.2,-0.083
DHR,Montag,329,53.5,48.9,0.027
DHR,Dienstag,364,48.6,49.2,-0.09
DHR,Mittwoch,360,48.9,53.3,0.07
DHR,Donnerstag,354,53.4,49.7,0.145
DHR,Freitag,352,50.3,49.1,-0.01
DIS,Montag,329,50.8,49.8,0.131
DIS,Dienstag,364,46.2,46.2,-0.106
DIS,Mittwoch,360,46.7,47.8,-0.015
DIS,Donnerstag,354,50.8,46.9,-0.003
DIS,Freitag,352,50.9,47.4,-0.042
DTE.DE,Montag,352,52.0,50.9,0.004
DTE.DE,Dienstag,360,47.8,48.3,-0.056
DTE.DE,Mittwoch,359,52.6,50.4,0.091
DTE.DE,Donnerstag,358,47.2,41.9,-0.05
DTE.DE,Freitag,352,52.8,52.0,-0.069
DTG.DE,Montag,241,49.0,46.5,0.067
DTG.DE,Dienstag,247,47.8,45.7,-0.153
DTG.DE,Mittwoch,245,51.8,51.4,0.012
DTG.DE,Donnerstag,246,49.6,52.4,0.102
DTG.DE,Freitag,242,52.1,52.1,0.033
DUK,Montag,329,52.3,52.0,0.012
DUK,Dienstag,364,48.1,46.2,-0.089
DUK,Mittwoch,360,51.1,48.3,0.015
DUK,Donnerstag,354,54.2,53.7,0.027
DUK,Freitag,352,52.8,51.4,0.01
DXCM,Montag,329,52.3,48.9,0.108
DXCM,Dienstag,364,50.0,48.1,-0.034
DXCM,Mittwoch,360,50.8,48.9,-0.071
DXCM,Donnerstag,354,50.0,50.0,0.082
DXCM,Freitag,352,52.0,51.1,0.103
EMR,Montag,329,55.6,53.8,0.12
EMR,Dienstag,364,47.3,46.2,-0.102
EMR,Mittwoch,360,50.8,50.6,-0.034
EMR,Donnerstag,354,50.8,49.2,0.06
EMR,Freitag,352,49.4,45.7,-0.003
ENB,Montag,329,52.3,46.2,-0.023
ENB,Dienstag,364,45.3,47.8,-0.082
ENB,Mittwoch,360,51.4,53.6,-0.046
ENB,Donnerstag,354,49.7,46.9,0.03
ENB,Freitag,352,50.0,45.2,0.011
ENR.DE,Montag,301,54.2,47.2,0.252
ENR.DE,Dienstag,310,50.6,45.2,-0.158
ENR.DE,Mittwoch,308,49.4,51.9,0.065
ENR.DE,Donnerstag,307,50.5,46.6,0.057
ENR.DE,Freitag,301,47.2,46.5,-0.038
EOAN.DE,Montag,352,46.9,46.6,0.037
EOAN.DE,Dienstag,360,50.0,50.0,-0.02
EOAN.DE,Mittwoch,359,52.1,49.3,0.003
EOAN.DE,Donnerstag,358,48.6,47.8,-0.034
EOAN.DE,Freitag,352,50.6,52.3,0.004
EQIX,Montag,329,52.9,49.8,-0.024
EQIX,Dienstag,364,48.4,46.2,-0.072
EQIX,Mittwoch,360,48.6,48.6,-0.016
EQIX,Donnerstag,354,51.4,47.7,0.042
EQIX,Freitag,352,52.0,50.0,0.101
EQNR,Montag,329,52.9,52.3,0.019
EQNR,Dienstag,364,48.9,50.5,0.012
EQNR,Mittwoch,360,50.3,49.7,-0.05
EQNR,Donnerstag,354,49.7,50.6,-0.076
EQNR,Freitag,352,47.4,46.9,0.033
ETN,Montag,329,52.3,55.0,0.117
ETN,Dienstag,364,49.2,47.5,-0.002
ETN,Mittwoch,360,49.7,50.3,-0.066
ETN,Donnerstag,354,53.7,48.9,0.072
ETN,Freitag,352,52.0,49.7,0.033
EXC,Montag,329,51.4,49.2,-0.009
EXC,Dienstag,364,48.1,48.9,0.032
EXC,Mittwoch,360,53.3,52.2,-0.015
EXC,Donnerstag,354,50.0,51.7,0.041
EXC,Freitag,352,52.6,47.7,0.004
FANG,Montag,329,54.1,52.6,0.249
FANG,Dienstag,364,48.4,47.5,-0.088
FANG,Mittwoch,360,48.9,48.9,-0.12
FANG,Donnerstag,354,49.2,48.0,0.077
FANG,Freitag,352,50.6,48.9,0.011
FAST,Montag,329,50.8,50.8,0.039
FAST,Dienstag,364,46.2,47.0,-0.073
FAST,Mittwoch,360,49.4,46.4,-0.013
FAST,Donnerstag,354,53.4,50.8,0.108
FAST,Freitag,352,51.1,51.7,0.143
FDX,Montag,329,52.0,51.4,0.058
FDX,Dienstag,364,50.5,49.7,-0.004
FDX,Mittwoch,360,49.2,49.4,-0.107
FDX,Donnerstag,354,55.9,56.5,0.252
FDX,Freitag,352,51.1,49.7,0.067
FRE.DE,Montag,352,52.3,47.2,0.05
FRE.DE,Dienstag,360,50.0,50.3,-0.089
FRE.DE,Mittwoch,359,51.3,51.0,0.048
FRE.DE,Donnerstag,358,45.0,42.5,-0.164
FRE.DE,Freitag,352,52.8,49.1,0.041
FTNT,Montag,329,58.4,60.8,0.35
FTNT,Dienstag,364,50.3,47.8,0.028
FTNT,Mittwoch,360,47.5,43.3,-0.04
FTNT,Donnerstag,354,56.2,53.4,0.224
FTNT,Freitag,352,56.2,50.0,0.231
GC=F,Montag,329,50.5,45.9,-0.069
GC=F,Dienstag,364,54.1,54.9,0.045
GC=F,Mittwoch,360,54.2,55.3,0.064
GC=F,Donnerstag,356,50.8,51.1,0.031
GC=F,Freitag,353,55.8,53.8,0.007
GD,Montag,329,51.7,54.7,0.045
GD,Dienstag,364,47.8,47.0,-0.133
GD,Mittwoch,360,50.6,49.7,-0.022
GD,Donnerstag,354,48.9,47.2,-0.038
GD,Freitag,352,52.3,48.3,0.053
GE,Montag,329,54.7,55.3,0.179
GE,Dienstag,364,52.7,51.9,0.031
GE,Mittwoch,360,50.0,48.9,-0.031
GE,Donnerstag,354,48.9,50.0,-0.051
GE,Freitag,352,53.7,51.1,0.054
GEHC,Montag,176,48.9,51.1,0.091
GEHC,Dienstag,196,44.9,49.0,-0.102
GEHC,Mittwoch,194,53.6,52.1,0.201
GEHC,Donnerstag,190,47.9,52.1,0.04
GEHC,Freitag,191,47.1,46.1,-0.088
GEV,Montag,120,53.3,45.8,0.349
GEV,Dienstag,130,52.3,46.2,0.277
GEV,Mittwoch,128,53.1,57.0,0.386
GEV,Donnerstag,124,44.4,43.5,-0.388
GEV,Freitag,125,47.2,48.0,0.148
