ticker,datum,stunden_erfasst,reihen_lage,reihen_abweichung,tages_offen,tages_hoch,tages_tief,tages_schluss,atr,tief_marke,tief_datum,tief_bestaetigt,tief_urteil,tief_stunden_drunter,tief_abstand_atr,tief_tiefster_punkt_atr,hoch_marke,hoch_datum,hoch_urteil,hoch_stunden_drueber,hoch_abstand_atr,stand_gehalten
ORCL,2026-09-11,7,ok,0.0002,165.0,165.9,149.84,150.255,7.4914,149.84,2026-09-11,0,unberuehrt,0,0.055,0.0,170.7,2026-09-08,unberuehrt,0,-2.729,0
ORLY,2026-09-11,7,ok,0.0001,86.13,86.32,85.24,85.81,1.6221,84.84,2026-09-09,0,unberuehrt,0,0.598,0.247,88.34,2026-09-03,unberuehrt,0,-1.56,0
P911.DE,2026-09-11,9,ok,0.0002,44.97,45.61,44.49,44.82,1.3386,43.4,2026-09-02,1,unberuehrt,0,1.061,0.814,46.9,2026-08-28,unberuehrt,0,-1.554,0
PAH3.DE,2026-09-11,9,ok,0.001,29.19,29.34,28.64,28.95,0.7793,28.56,2026-09-08,0,unberuehrt,0,0.5,0.103,29.78,2026-09-04,unberuehrt,0,-1.065,0
PANW,2026-09-11,7,ok,0.0001,338.49,341.14,327.053,330.68,19.3536,321.39,2026-09-02,0,unberuehrt,0,0.48,0.293,383.73,2026-08-31,unberuehrt,0,-2.741,0
PAYX,2026-09-11,7,ok,0.0002,115.03,115.97,114.795,115.78,2.5793,114.51,2026-09-10,1,unberuehrt,0,0.492,0.11,126.45,2026-09-03,unberuehrt,0,-4.137,0
PCAR,2026-09-11,7,ok,0.0001,124.45,124.58,122.47,122.72,2.3871,120.44,2026-09-09,1,unberuehrt,0,0.955,0.85,126.49,2026-09-04,unberuehrt,0,-1.579,0
PDD,2026-09-11,7,ok,0.0,78.32,78.32,77.245,77.81,2.0757,77.25,2026-09-11,0,angetestet,0,0.27,-0.002,82.6,2026-09-04,unberuehrt,0,-2.308,0
PEP,2026-09-11,7,ok,0.0002,137.31,137.48,136.04,136.29,2.0279,136.04,2026-09-11,0,unberuehrt,0,0.123,0.0,141.71,2026-09-02,unberuehrt,0,-2.673,0
PG,2026-09-11,7,ok,0.0003,143.715,145.49,143.5501,145.22,2.1914,141.86,2026-09-10,1,unberuehrt,0,1.533,0.771,148.36,2026-09-01,unberuehrt,0,-1.433,0
PLTR,2026-09-11,7,ok,0.0001,168.0,168.61,165.4,167.21,7.635,164.55,2026-09-10,0,unberuehrt,0,0.348,0.111,185.83,2026-09-03,unberuehrt,0,-2.439,0
PYPL,2026-09-11,7,ok,0.0006,53.31,54.3999,53.31,53.69,2.147,50.802,2026-09-10,1,unberuehrt,0,1.345,1.168,56.96,2026-09-03,unberuehrt,0,-1.523,0
QCOM,2026-09-11,7,ok,0.0002,178.25,185.46,175.74,181.93,6.6793,171.0,2026-09-10,1,unberuehrt,0,1.636,0.71,183.49,2026-09-08,zurueckerobert,4,-0.234,0
QIA.DE,2026-09-11,9,ok,0.0025,36.875,36.875,36.205,36.525,1.2632,35.7,2026-09-09,1,unberuehrt,0,0.653,0.4,38.73,2026-09-02,unberuehrt,0,-1.746,0
REGN,2026-09-11,7,ok,0.0002,800.0,800.22,780.81,781.34,19.7529,780.81,2026-09-11,0,unberuehrt,0,0.027,0.0,859.34,2026-09-03,unberuehrt,0,-3.949,0
RHM.DE,2026-09-11,9,ok,0.0277,1017.0,1030.6,976.0,988.2,37.3786,992.7,2026-09-10,0,gebrochen,2,-0.12,-0.447,1185.4,2026-08-27,unberuehrt,0,-5.276,0
ROP,2026-09-11,7,ok,0.0001,388.65,389.46,383.71,388.48,9.3643,383.71,2026-09-11,0,unberuehrt,0,0.509,0.0,429.6,2026-09-03,unberuehrt,0,-4.391,0
ROST,2026-09-11,7,ok,0.0,225.97,230.97,225.44,230.73,5.1543,222.73,2026-09-10,1,unberuehrt,0,1.552,0.526,233.45,2026-09-04,unberuehrt,0,-0.528,0
RWE.DE,2026-09-11,9,ok,0.0096,60.48,60.5,58.88,59.6,1.3657,57.28,2026-09-02,1,unberuehrt,0,1.699,1.172,60.3,2026-09-01,zurueckerobert,2,-0.513,0
SAP.DE,2026-09-11,9,ok,0.0,175.68,178.84,172.16,177.82,5.7314,176.2,2026-09-10,0,zurueckerobert,6,0.283,-0.705,187.04,2026-09-09,unberuehrt,0,-1.609,0
SBUX,2026-09-11,7,ok,0.0001,100.275,100.41,98.46,98.75,2.2279,98.46,2026-09-11,0,unberuehrt,0,0.13,0.0,107.9,2026-09-02,unberuehrt,0,-4.107,0
