ticker,klasse_atr,faelle,verlust_atr_median,verlust_pct_median,hoeher_nach_5_pct,schluss_5_median_pct,tiefer_5_median_atr,tiefer_5_p90_atr,hoch_5_median_atr,hoeher_nach_10_pct,schluss_10_median_pct,tiefer_10_median_atr,tiefer_10_p90_atr,hoch_10_median_atr,hoeher_nach_20_pct,schluss_20_median_pct,tiefer_20_median_atr,tiefer_20_p90_atr,hoch_20_median_atr,hoeher_nach_60_pct,schluss_60_median_pct,tiefer_60_median_atr,tiefer_60_p90_atr,hoch_60_median_atr
ADP,2.0,3,2.01,4.11,0.0,-2.86,1.76,2.95,0.73,33.3,-1.76,2.95,3.19,1.04,33.3,-0.34,2.95,4.56,1.19,66.7,12.12,2.95,4.99,3.53
ADP,2.25,7,2.32,4.24,42.9,-0.13,0.89,3.38,1.57,28.6,-1.0,1.5,7.17,1.57,42.9,-4.4,3.54,16.42,1.86,28.6,-3.12,4.34,16.42,2.42
ADP,2.5,2,2.72,5.29,50.0,1.36,1.55,1.98,1.65,100.0,2.94,1.55,1.98,2.28,50.0,-3.04,3.58,4.77,2.93,50.0,-4.41,13.85,22.87,4.4
ADP,3.0,2,3.07,7.63,100.0,4.99,1.47,2.05,2.08,50.0,3.25,1.47,2.05,2.55,100.0,3.81,1.5,2.06,2.67,100.0,10.45,1.5,2.06,6.99
ADP,3.25,1,3.31,4.73,100.0,3.77,0.63,0.63,2.84,100.0,1.51,0.63,0.63,3.59,100.0,4.16,0.63,0.63,4.19,100.0,10.95,0.63,0.63,8.2
ADP,3.75,1,3.99,6.58,0.0,-0.63,1.31,1.31,1.02,0.0,-2.55,2.5,2.5,1.02,0.0,-2.64,3.04,3.04,1.02,0.0,-1.94,3.04,3.04,1.86
ADP,4.0,1,4.15,9.2,0.0,-3.65,2.4,2.4,0.77,100.0,3.27,2.4,2.4,1.53,100.0,5.87,2.4,2.4,2.89,100.0,10.76,2.4,2.4,4.43
ADS.DE,0.25,219,0.37,0.98,46.6,-0.35,1.09,2.76,0.86,48.4,-0.21,1.49,4.81,1.22,44.7,-0.91,2.0,6.57,1.82,51.1,0.29,3.82,10.19,4.05
ADS.DE,0.5,159,0.6,1.6,49.1,-0.1,0.91,3.1,1.0,43.4,-0.93,1.58,3.81,1.4,46.5,-0.87,2.32,6.52,2.1,48.4,-0.51,4.05,9.8,3.62
ADS.DE,0.75,92,0.86,2.29,47.8,-0.3,0.98,2.78,0.95,50.0,-0.1,1.45,3.61,1.49,51.1,0.54,1.99,5.87,1.94,41.3,-4.05,3.83,12.02,3.39
ADS.DE,1.0,59,1.09,3.15,50.8,0.46,1.0,2.95,0.88,49.2,-0.12,1.26,4.0,1.49,55.9,0.98,1.81,5.54,2.55,47.5,-0.68,4.32,9.5,3.46
ADS.DE,1.25,24,1.32,3.69,41.7,-0.98,1.24,3.95,1.08,45.8,-0.52,2.04,4.21,1.75,62.5,3.56,2.96,4.63,3.12,54.2,0.79,3.85,8.64,4.45
ADS.DE,1.5,14,1.56,4.29,71.4,2.29,0.94,1.96,1.57,71.4,1.66,1.15,2.9,2.04,57.1,2.62,1.36,5.22,2.72,57.1,4.17,2.05,7.64,4.39
ADS.DE,1.75,4,1.84,5.16,50.0,-2.16,1.25,2.62,0.82,50.0,0.95,2.38,3.24,1.76,50.0,-2.36,3.02,5.57,1.76,50.0,2.7,5.28,10.39,3.0
ADS.DE,2.0,6,2.18,5.32,50.0,-0.67,0.72,2.15,1.47,66.7,1.54,0.72,3.05,1.74,50.0,1.43,1.01,5.59,2.58,66.7,8.07,2.95,14.04,4.77
ADS.DE,2.25,2,2.35,6.21,0.0,-5.42,2.11,2.66,0.96,0.0,-7.99,4.54,6.64,0.96,0.0,-17.66,7.69,12.22,0.96,50.0,-5.47,8.03,12.29,2.37
ADS.DE,2.5,1,2.67,6.02,0.0,-1.27,1.39,1.39,-0.0,0.0,-4.0,2.45,2.45,0.67,0.0,-4.6,2.45,2.45,0.67,0.0,-10.11,7.79,7.79,0.67
ADS.DE,3.0,1,3.11,10.88,100.0,3.06,0.32,0.32,1.41,0.0,-2.05,0.72,0.72,1.41,100.0,7.44,0.72,0.72,2.52,100.0,17.56,0.72,0.72,6.07
ADS.DE,3.25,1,3.39,10.39,0.0,-3.63,2.23,2.23,0.9,0.0,-0.27,2.23,2.23,0.9,0.0,-3.87,2.63,2.63,0.9,0.0,-12.53,4.02,4.02,1.07
ADS.DE,3.75,2,3.88,11.63,50.0,-3.01,2.52,2.88,1.25,50.0,-1.06,2.69,2.91,1.25,50.0,0.7,2.69,2.91,2.05,100.0,7.42,2.69,2.91,4.43
ADSK,0.25,193,0.36,0.97,54.4,0.41,0.9,2.89,1.13,56.0,0.91,1.21,4.14,1.58,55.4,1.3,2.03,5.26,2.36,55.4,1.58,3.34,8.77,4.39
ADSK,0.5,131,0.62,1.85,54.2,0.83,0.87,2.43,1.12,56.5,0.79,1.29,3.12,1.55,54.2,0.85,1.64,4.44,2.41,56.5,3.49,2.72,9.01,4.15
ADSK,0.75,90,0.87,2.48,46.7,-0.34,1.17,2.56,0.95,52.2,0.24,1.45,3.53,1.42,55.6,0.95,1.87,5.41,2.07,62.2,3.67,2.68,8.76,4.74
ADSK,1.0,54,1.1,2.95,44.4,-0.81,1.4,3.91,1.08,42.6,-1.01,1.9,4.76,1.57,42.6,-0.97,3.0,6.25,2.11,57.4,1.55,4.49,11.31,3.53
ADSK,1.25,25,1.36,3.45,60.0,0.39,1.0,3.29,1.3,48.0,-0.42,1.44,4.85,1.74,52.0,0.32,2.94,6.11,2.5,76.0,10.83,3.28,6.27,6.38
ADSK,1.5,21,1.61,4.71,52.4,1.16,1.12,2.43,1.47,66.7,3.04,1.37,5.92,1.9,52.4,0.01,1.72,7.44,2.04,47.6,-0.61,3.64,12.18,3.9
ADSK,1.75,10,1.88,5.06,80.0,1.94,1.04,1.77,1.62,60.0,2.73,1.19,4.3,2.34,60.0,3.13,1.29,8.01,3.4,60.0,7.33,4.89,10.06,4.47
