ticker,datum,position,serie_laenge,typisch,tief,einstieg,atr,abstand_atr,rsi,rsi_rel,benoetigt_atr,benoetigt_ganz_atr,anstieg_atr,anstieg_pivot_atr,typischer_anstieg_atr,ziel_atr,resthistorie
SHL.DE,2021-11-24,1,1,1.0,57.0458,58.5945,1.507,1.028,59.7,13.15,6.426,16.082,2.019,2.019,1.074,0.966,1203
SHL.DE,2021-12-15,1,2,1.0,58.886,59.1593,1.3925,0.196,54.92,8.38,8.582,18.726,1.557,1.557,1.074,0.966,1191
SHL.DE,2021-12-20,2,2,1.0,57.0458,57.5013,1.4042,0.324,49.52,2.98,7.2,17.259,2.725,2.725,1.074,0.966,1188
SHL.DE,2022-01-18,1,6,1.0,53.165,54.1489,1.2767,0.771,28.79,-17.75,4.879,15.944,1.912,1.912,1.074,0.966,1169
SHL.DE,2022-01-27,2,6,1.0,51.3795,52.9828,1.5265,1.05,34.48,-12.06,2.911,12.164,2.08,1.957,1.074,0.966,1162
SHL.DE,2022-02-04,3,6,1.0,51.0333,52.8917,1.7009,1.093,37.69,-8.86,3.464,10.714,1.92,-0.543,1.074,0.966,1154
SHL.DE,2022-02-15,4,6,1.0,49.9583,50.7836,1.5331,0.538,38.26,-8.28,3.142,11.186,3.506,-0.519,1.074,0.966,1149
SHL.DE,2022-02-22,5,6,1.0,47.731,49.7475,1.5306,1.317,32.18,-14.37,1.692,9.748,4.188,2.852,1.074,0.966,1144
SHL.DE,2022-02-24,6,6,1.0,47.361,51.1721,1.3717,2.778,37.53,-9.01,1.618,10.608,3.635,2.144,1.074,0.966,1142
SHL.DE,2022-03-08,1,2,1.0,46.9355,50.8391,1.7655,2.211,32.43,-14.11,1.016,8.001,3.013,0.073,1.074,0.966,1134
SHL.DE,2022-05-02,2,2,1.0,45.1409,48.0825,1.6875,1.743,31.76,-14.78,3.07,7.307,4.785,1.009,1.074,0.966,1096
SHL.DE,2022-05-26,1,1,1.0,49.655,52.0601,1.3756,1.748,49.87,3.33,7.047,12.245,2.979,1.049,1.074,0.966,1079
SHL.DE,2022-06-02,1,4,1.0,50.58,51.2461,1.2316,0.541,54.09,7.55,8.622,14.428,3.988,0.631,1.074,0.966,1074
SHL.DE,2022-06-07,2,4,1.0,50.3395,52.0046,1.1893,1.4,55.88,9.33,8.727,14.739,3.492,-5.398,1.074,0.966,1071
SHL.DE,2022-06-22,3,4,1.0,39.9608,41.3021,1.665,0.806,23.2,-23.34,0.0,4.295,8.922,2.572,1.074,0.966,1060
SHL.DE,2022-09-23,4,4,1.0,37.2968,38.6658,1.3188,1.038,19.32,-27.22,0.0,3.402,13.263,3.276,1.074,0.966,993
SHL.DE,2022-11-23,1,2,1.0,45.9642,48.0085,1.5098,1.354,59.82,13.27,2.843,8.713,5.398,0.098,1.074,0.966,950
SHL.DE,2022-12-06,2,2,1.0,45.0669,47.1575,1.1318,1.847,46.8,0.26,2.999,10.829,7.952,-3.506,1.074,0.966,937
SHL.DE,2022-12-20,1,1,1.0,41.6721,42.2271,1.3089,0.424,31.32,-15.22,0.0,6.771,10.643,1.201,1.074,0.966,930
SHL.DE,2023-02-13,1,4,1.0,47.0465,47.3425,1.3505,0.219,53.68,7.14,1.053,10.541,6.527,0.494,1.074,0.966,893
SHL.DE,2023-02-15,2,4,1.0,47.028,47.3495,1.3182,0.244,53.54,6.99,1.065,10.786,6.682,0.458,1.074,0.966,891
SHL.DE,2023-02-17,3,4,1.0,46.3316,47.7264,1.3044,1.069,53.23,6.68,0.542,10.366,6.464,-0.116,1.074,0.966,889
