ticker,position,faelle,zurueckfall_atr_min,zurueckfall_atr_p25,zurueckfall_atr_median,zurueckfall_atr_p75,zurueckfall_atr_p90,zurueckfall_atr_p95,zurueckfall_atr_max,n_21t,haelt_21t_pct,ruecksetzer_21t_median,ruecksetzer_21t_p75,ruecksetzer_21t_p90,n_42t,haelt_42t_pct,ruecksetzer_42t_median,ruecksetzer_42t_p75,ruecksetzer_42t_p90,n_63t,haelt_63t_pct,ruecksetzer_63t_median,ruecksetzer_63t_p75,ruecksetzer_63t_p90,n_84t,haelt_84t_pct,ruecksetzer_84t_median,ruecksetzer_84t_p75,ruecksetzer_84t_p90,n_126t,haelt_126t_pct,ruecksetzer_126t_median,ruecksetzer_126t_p75,ruecksetzer_126t_p90,n_189t,haelt_189t_pct,ruecksetzer_189t_median,ruecksetzer_189t_p75,ruecksetzer_189t_p90,n_252t,haelt_252t_pct,ruecksetzer_252t_median,ruecksetzer_252t_p75,ruecksetzer_252t_p90
BZ=F,Hoch 5,9,1.4519215456897303,2.5832864965108264,4.474790409933212,7.149371730935339,9.017668646714132,9.37226191336431,9.72685518001449,9,11.1,2.5,3.0,4.0,9,11.1,3.0,4.5,8.9,9,11.1,4.25,7.0,8.9,9,11.1,7.25,8.75,11.8,9,11.1,7.25,8.75,15.0,8,12.5,7.5,10.25,15.12,8,12.5,7.5,10.56,16.0
BZ=F,Hoch 6,5,1.6309890476041402,1.8696423625461385,5.928682139890658,8.959762011146314,9.692443009865423,9.936670009438458,10.180897009011495,5,40.0,3.0,5.75,5.9,5,20.0,5.75,8.75,9.5,5,20.0,5.75,8.75,9.5,5,20.0,7.5,9.75,9.9,5,20.0,7.5,10.0,12.1,4,25.0,7.0,10.88,12.45,4,25.0,8.75,11.5,14.2
BZ=F,Hoch 7,4,1.1257101260190174,2.096378818267229,5.07689725590393,8.459987497028305,9.76701795865505,10.202694779197296,10.638371599739544,4,50.0,3.38,4.56,4.67,4,50.0,4.88,8.25,9.6,4,25.0,4.88,8.25,9.6,4,25.0,4.88,8.25,9.6,3,0.0,2.25,6.38,8.85,3,0.0,4.75,7.62,9.35,3,0.0,8.0,9.25,10.0
BZ=F,Hoch 8,2,2.469247521964873,2.7422568461316685,3.0152661702984647,3.2882754944652604,3.452081088965338,3.506682953798697,3.561284818632056,2,0.0,2.5,2.62,2.7,2,0.0,2.88,3.19,3.38,2,0.0,2.88,3.19,3.38,2,0.0,2.88,3.19,3.38,2,0.0,3.5,3.5,3.5,2,0.0,4.62,5.19,5.53,2,0.0,5.62,6.69,7.33
BZ=F,Hoch 9,2,4.2496948318847805,4.509053364813096,4.7684118977414105,5.027770430669726,5.183385550426715,5.235257257012378,5.287128963598041,2,50.0,4.62,4.94,5.12,2,50.0,4.62,4.94,5.12,2,50.0,4.62,4.94,5.12,2,50.0,4.62,4.94,5.12,2,50.0,5.25,5.88,6.25,2,50.0,5.88,6.81,7.38,2,50.0,6.0,7.0,7.6
BZ=F,Hoch 10,1,4.473232868607662,4.473232868607662,4.473232868607662,4.473232868607662,4.473232868607662,4.473232868607662,4.473232868607662,1,100.0,4.25,4.25,4.25,1,100.0,4.25,4.25,4.25,1,0.0,4.25,4.25,4.25,1,0.0,4.25,4.25,4.25,1,0.0,4.25,4.25,4.25,1,0.0,4.25,4.25,4.25,1,0.0,4.25,4.25,4.25
C,alle,200,0.682816638907276,2.203208766285182,4.2584166969909365,7.900309087188301,11.206862431968208,14.761891014043028,48.148646560958746,200,26.5,3.0,5.06,7.25,200,16.5,3.62,6.0,9.25,200,13.0,4.12,7.75,11.07,198,12.1,4.75,8.75,13.33,191,10.5,5.75,10.0,15.25,182,9.9,6.88,11.25,16.0,179,8.4,7.5,13.25,16.0
C,Hoch 1,95,0.8799308173800008,2.5923245539239375,4.147270477570559,7.283946927786532,9.451911092042451,13.45641038811836,48.148646560958746,95,24.2,3.0,4.25,7.65,95,15.8,3.5,5.75,8.9,95,12.6,4.0,7.12,9.25,94,10.6,4.75,8.75,10.68,90,7.8,5.5,9.25,14.5,85,8.2,7.0,11.0,16.0,85,7.1,7.25,12.25,16.0
C,Hoch 2,43,0.682816638907276,2.677872224945884,5.009602883988112,8.114736595861487,11.9318963078066,26.077082735838925,46.5453648796254,43,25.6,3.25,5.25,5.95,43,20.9,4.25,5.75,9.9,43,16.3,5.0,8.0,11.75,42,16.7,5.25,9.56,13.32,40,17.5,6.12,11.38,16.0,39,15.4,7.25,12.25,16.0,39,12.8,8.75,13.38,16.0
C,Hoch 3,28,0.8147656828029716,1.9435687442357141,4.540947502347155,8.658598747424925,13.286136685687865,13.778469035019956,47.03203825715891,28,28.6,3.38,5.75,6.73,28,14.3,4.12,7.56,10.2,28,14.3,4.38,8.44,13.25,28,14.3,6.38,9.25,14.0,27,14.8,7.25,13.5,14.95,26,11.5,8.12,13.81,16.0,26,11.5,9.12,14.0,16.0
